Indicator,Year,Value,Unit,Confidence,RawText,DisplayValue,Source,Method,CanonicalIndicator,Category,Canonical Name,Indicator Name,FileRef,page_content,SourceURL
Government Budget Balance (% Of Gdp),2014,10.0,%,100,"However, early  childhood education does not receive very  much from the budget and remains an area  0% 5% 10% 15% 20% 25% 2014 2015 2016 2017 2018 2019 2020 2021 LF Children Young people and adults Older persons Persons with disabilities, sickness and survivors Socially marginalized or at risk of social exclusion, refugees and immigrants Households/ families Women 37  for improvement.",10.0 %,social-expenditure-monitor-tunisia-english.pdf,Alias,Government Budget Balance (% Of Gdp),National Accounts,Government Budget Balance (% Of Gdp),Government Budget Balance (% Of Gdp),,,
Public Administration,2014,15.0,%,100,"However, early  childhood education does not receive very  much from the budget and remains an area  0% 5% 10% 15% 20% 25% 2014 2015 2016 2017 2018 2019 2020 2021 LF Children Young people and adults Older persons Persons with disabilities, sickness and survivors Socially marginalized or at risk of social exclusion, refugees and immigrants Households/ families Women 37  for improvement.",15.0 %,social-expenditure-monitor-tunisia-english.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Gross Domestic Product (gdp) At Market Prices,2020,2021.0,,85,"Similarly, the public debt  increased sharply to 77.8 per cent of GDP in  2020, was estimated to have risen to 85.6  per cent in 2021 and is projected to decrease  to 82.6 per cent in 2022, mainly driven by  external borrowing.","2,021",social-expenditure-monitor-tunisia-english.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2021,2020.0,,85,"According to the Social Expenditure Monitor  (SEM), total public social expenditure as a  share of GDP was 21.1 per cent in 2021,  compared to 23.4 per cent in 2020.","2,020",social-expenditure-monitor-tunisia-english.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Public Administration,2016,2015.0,,85,"Summary of strengths and  weaknesses of PFM in Tunisia, PEFA 2016  Pillar  Indicators  Rating (2015)  I. Budget reliability  1  Aggregate expenditure outturn  B  2  Expenditure composition outturn  D+  3  Revenue outturn  D  II.","2,015",social-expenditure-monitor-tunisia-english.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Gross Domestic Product (gdp) At Market Prices,2016,6.6,%,100,"In 2016 the direct contribution of Travel &  Tourism to GDP was USD2,726.9mn, 6.6% of  total GDP, in 2016 Travel & Tourism directly  supported  206,500  jobs  (6.0%  of  total  employment)6.",6.6 %,stocktaking-tunisia-report-final.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2016,6.0,%,100,"In 2016 the direct contribution of Travel &  Tourism to GDP was USD2,726.9mn, 6.6% of  total GDP, in 2016 Travel & Tourism directly  supported  206,500  jobs  (6.0%  of  total  employment)6.",6.0 %,stocktaking-tunisia-report-final.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,1980,1981.0,,85,"U.S. Aid Obligations, 1980-2014 $0 $60,000,000 $120,000,000 $180,000,000 $240,000,000 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 $0 $2,875 $5,750 $8,625 $11,500 1980 1981 1982 1983 1984 1985 1986 1987 1988 1989 1990 1991 1992 1993 1994 1995 1996 1997 1998 1999 2000 2001 2002 2003 2004 2005 2006 2007 2008 2009 2010 2011 2012 2013 2014 GDP per capita, Tunisia, 1980-2014 U.S. Aid Obligation Breakdown   (2014)","1,981",tunisia%20brief%202.12.19,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross National Income (gni),1980,53.0,%,100,"https://www.census.gov/foreign-trade/balance/c7230.html    Dept. of State  53% USAID  16% Dept. of Energy  1% Dept. of Defense  30% Tunisia in 1980 Tunisia Today GNI per capita: GNI per capita: US Trade Value: IGO Membership $1360 $3690 $268 million $1.005 billion OIC, UN, WorldBank Major non-NATO ally, MCC,  African Union, WTO US Trade Value: IGO Membership: (Incl.",53.0 %,tunisia%20brief%202.12.19,Alias,Gross National Income (gni),National Accounts,Gross National Income (gni),Gross National Income (gni),,,
Population,2021,0.99,%,100,The population growth rate was 0.99%3 in 2021.,1.0 %,tunisia-2.pdf,Alias,Population,Demographics,Population,Population,,,
Population,2021,3.0,,70,The population growth rate was 0.99%3 in 2021.,3,tunisia-2.pdf,Alias,Population,Demographics,Population,Population,,,
Households (housing),2022,2021.0,,85,"The poorest households do not meet the bank credit conditions for eligibility as they often do not meet the solvency requirements.20 There is no law preventing women Benita M. Ngoy Africa Housing Finance Yearbook 2022 225 KEY FIGURES Main urban centres Tunis, Sfax, Sousse Exchange rate (1 July 2022): 1 USD = [a] 1 PPP$ = (2021)","2,021",tunisia-2.pdf,Alias,Households (housing),Households,Households (housing),Households (housing),,,
Population,2021,5.0,,70,"[d] Population living less than 5m above sea level  Most common fuels used by households |  by B40 households  Percentage of female-headed households Percent of population that have received at least 1 dose of COVID-19 vaccination as of 1 October [c] Unemployment rate (% of total labour force, national estimate) (2021)",5,tunisia-2.pdf,Alias,Population,Demographics,Population,Population,,,
Population,2021,1.0,,70,"[d] Population living less than 5m above sea level  Most common fuels used by households |  by B40 households  Percentage of female-headed households Percent of population that have received at least 1 dose of COVID-19 vaccination as of 1 October [c] Unemployment rate (% of total labour force, national estimate) (2021)",1,tunisia-2.pdf,Alias,Population,Demographics,Population,Population,,,
Population,2021,40.0,,85,"[d] Population living less than 5m above sea level  Most common fuels used by households |  by B40 households  Percentage of female-headed households Percent of population that have received at least 1 dose of COVID-19 vaccination as of 1 October [c] Unemployment rate (% of total labour force, national estimate) (2021)",40,tunisia-2.pdf,Alias,Population,Demographics,Population,Population,,,
Gross Domestic Product (gdp) At Market Prices,2021,0.99,%,100,[d] 11 935 764 |  8 341 667 0.99% |  1.45% 8.2% 8.5% n/a |  n/a n/a 75.27% 16.1% 25% 35.8 94 |  0.73 GDP per capita (Current US$) (2021),1.0 %,tunisia-2.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Population,2021,15.2,%,100,"The overall unemployment rate, which fell slightly to 16.2% in the last quarter of 2021, is still well above its pre-COVID level (14.9% in 2019).42 The Gini Coefficient for Tunisia is 32.843 with 15.2% of the population living below the national poverty line.44 The annual repayment of housing loans for households with a mortgage loan represents on average 36% of household expenses.",15.2 %,tunisia-2.pdf,Alias,Population,Demographics,Population,Population,,,
Householders (housing),2021,16.2,%,100,"The overall unemployment rate, which fell slightly to 16.2% in the last quarter of 2021, is still well above its pre-COVID level (14.9% in 2019).42 The Gini Coefficient for Tunisia is 32.843 with 15.2% of the population living below the national poverty line.44 The annual repayment of housing loans for households with a mortgage loan represents on average 36% of household expenses.",16.2 %,tunisia-2.pdf,Alias,Householders (housing),Households,Householders (housing),Householders (housing),,,
Unemployment Rate,2021,14.9,%,100,"The overall unemployment rate, which fell slightly to 16.2% in the last quarter of 2021, is still well above its pre-COVID level (14.9% in 2019).42 The Gini Coefficient for Tunisia is 32.843 with 15.2% of the population living below the national poverty line.44 The annual repayment of housing loans for households with a mortgage loan represents on average 36% of household expenses.",14.9 %,tunisia-2.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Unemployment Rate,2021,36.0,%,100,"The overall unemployment rate, which fell slightly to 16.2% in the last quarter of 2021, is still well above its pre-COVID level (14.9% in 2019).42 The Gini Coefficient for Tunisia is 32.843 with 15.2% of the population living below the national poverty line.44 The annual repayment of housing loans for households with a mortgage loan represents on average 36% of household expenses.",36.0 %,tunisia-2.pdf,Alias,Unemployment Rate,Employment,Unemployment Rate,Unemployment Rate,,,
Population,2021,32.843,,85,"The overall unemployment rate, which fell slightly to 16.2% in the last quarter of 2021, is still well above its pre-COVID level (14.9% in 2019).42 The Gini Coefficient for Tunisia is 32.843 with 15.2% of the population living below the national poverty line.44 The annual repayment of housing loans for households with a mortgage loan represents on average 36% of household expenses.",33,tunisia-2.pdf,Alias,Population,Demographics,Population,Population,,,
National Income,2021,2022.0,,85,"The 2021 Finance Act foresaw an income tax reduction of up to DT200 (US$65) per month for any Tunisian citizen wishing to acquire a house in 2021 and 2022, hoping that this measure would help citizens to buy property.64 The 2022 Finance Act provides for a reduction in the tax burden on the sales of houses built by property developers and extends the exemption from registration fees to the acquisition of residential buildings financed in foreign currency by non-residents.65 The bill n°104 (2020), relating to the economic recovery and the settlement of foreign exchange offences, was approved in July 2021.","2,022",tunisia-2.pdf,Alias,National Income,National Accounts,National Income,National Income,,,
Population,2022,4.0,,70,Ratio de la population pauvre en fonction du seuil de pauvreté national (% de la population) - Tunisia https://donnees.banquemondiale.org/indicator/SI.POV.NAHC?locations=TN (Accessed 04 August 2022).,4,tunisia-2.pdf,Alias,Population,Demographics,Population,Population,,,
Gross Domestic Product (gdp) At Market Prices,2020,8.2,%,100,"Yet, real GDP is estimated to have contracted by an unprecedented 8.2 percent in 2020.",8.2 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2021,3.8,%,100,"Staff projects real GDP growth of 3.8 percent in 2021, with some rebound in domestic demand  and in most sectors hit by the crisis, though agricultural output is expected to decline due to  cyclical factors.",3.8 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Population,2017,20.0,,85,"Tunisia: Selected Economic Indicators, 2017–20  Population (2019): 11.8 million   Per-capita GDP (2020,  US$): 3,323  Quota (2020): SDR 545.2 million  Literacy rate (2019): 82.3  percent (est.)",20,tunisia-article-iv-feb-2021.pdf,Alias,Population,Demographics,Population,Population,,,
Merchandise Exports (current Usd),2015,15.2,%,100,"Main exports: electronic  and mechanical goods, textiles, energy, olive oil, tourism  Poverty rate (2015): 15.2  percent     Key export markets: France, Italy, Germany     2017  2018  2019   2020               Prel.",15.2 %,tunisia-article-iv-feb-2021.pdf,Alias,Merchandise Exports (current Usd),Trade,Merchandise Exports (current Usd),Merchandise Exports (current Usd),,,
Inflation,2020,3.0,,70,"The World Bank also  estimates an increase in the poverty rate from 14 percent pre-Covid to over 20 percent in 2020,2  and UNICEF expects an increase in child poverty by 6–10 percentage points.3 Inflation slowed  because of the contraction in domestic demand and lower international fuel prices.",3,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2020,10.0,%,100,"The World Bank also  estimates an increase in the poverty rate from 14 percent pre-Covid to over 20 percent in 2020,2  and UNICEF expects an increase in child poverty by 6–10 percentage points.3 Inflation slowed  because of the contraction in domestic demand and lower international fuel prices.",10.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Gross Domestic Product (gdp) At Market Prices,2020,2.3,%,100,About TD  2.6 billion (2.3 percent of GDP) of these were direct fiscal measures included in the 2020–21  budgets.,2.3 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2020,9.0,%,100,"grants) dropped by about 9 percent (y-o-y) through  October 2020, especially from a lower tax intake, while additional hiring (about 40 percent of  which was in the health sector, including to fight the pandemic) pushed the civil service salary bill  to 17.6 percent of GDP, among the highest in the world (Annex III).",9.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Public Administration,2019,9.4,%,100,"The authorities relied heavily on domestic financing sources (9.4 percent of  GDP) and Parliament voted to allow the CBT, on an exceptional basis, to lend TD 2.81 billion  (2.5 percent of GDP) directly to the Treasury, over strong reservations from the CBT.4 Central  government public debt is estimated to have increased from 72 percent of GDP in 2019 to nearly  87 percent of GDP by end-2020.",9.4 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Public Debt (% Of Gdp),2019,2.5,%,100,"The authorities relied heavily on domestic financing sources (9.4 percent of  GDP) and Parliament voted to allow the CBT, on an exceptional basis, to lend TD 2.81 billion  (2.5 percent of GDP) directly to the Treasury, over strong reservations from the CBT.4 Central  government public debt is estimated to have increased from 72 percent of GDP in 2019 to nearly  87 percent of GDP by end-2020.",2.5 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Gross Domestic Product (gdp) At Market Prices,2019,72.0,%,100,"The authorities relied heavily on domestic financing sources (9.4 percent of  GDP) and Parliament voted to allow the CBT, on an exceptional basis, to lend TD 2.81 billion  (2.5 percent of GDP) directly to the Treasury, over strong reservations from the CBT.4 Central  government public debt is estimated to have increased from 72 percent of GDP in 2019 to nearly  87 percent of GDP by end-2020.",72.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2019,40.0,%,100,"SOEs are highly indebted,  with total debt of 30 largest SOEs reaching almost 40 percent of GDP in 2019 (and expected to  have increased further in 2020).",40.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Public Administration,2019,2020.0,,85,"Tunisia: Cross-Arrears of State-Owned Enterprises, 2019 and 2020 1/   (In percent of GDP)  Sources: Tunisian authorities’ budget and IMF staff calculations.","2,020",tunisia-article-iv-feb-2021.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Current Account Balance,2021,9.9,%,100,"Thus, staff projects a  baseline fiscal deficit (excl. grants) of 9.9 percent of GDP in 2021.",9.9 %,tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Gross Domestic Product (gdp) At Market Prices,2021,70.0,%,100,"The 2021  budget expects to cover some  70 percent of the gross fiscal  financing need (15.4 percent of  GDP) through external  borrowing, including market  issuance of 5.3 percent of GDP  (about US$2.2 billion), which may  pose fiscal risks.",70.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Public Administration,2021,15.4,%,100,"The 2021  budget expects to cover some  70 percent of the gross fiscal  financing need (15.4 percent of  GDP) through external  borrowing, including market  issuance of 5.3 percent of GDP  (about US$2.2 billion), which may  pose fiscal risks.",15.4 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Gross Domestic Product (gdp) At Market Prices,2021,4.0,%,100,"They expected real  GDP growth of 4 percent in 2021 and saw further upside, pointing to the cushioning impact of  emergency measures and renewed gas production at the Nawara field.",4.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Current Account Balance,2021,8.0,%,100,"They saw a lower current account deficit in  2021, in the range of 7–8 percent of GDP.",8.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Gross Domestic Product (gdp) At Market Prices,2025,14.5,%,100,"•  A wage bill dropping to nearly 14.5 percent of GDP by 2025, phased-out energy subsidies (with  maintained social tariffs), reforms of loss-making SOEs, and more equitable and growth-friendly  taxation.",14.5 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Public Debt (% Of Gdp),2018,2019.0,,85,"-1,946 -917 -129 Total current primary expenditure 23,680 27,066 30,759 30,749 33,041 29,025 32,910 34,879 37,127 39,779 43,126 Social expenditures 1/ 2,498 3,209 3,655 … 3,865 … 4,136 4,361 4,639 4,973 5,345 Gross central government debt 82,295 82,554 97,495 … 111,507 … 124,897 140,058 156,119 172,967 189,512 Domestic 22,027 23,949 34,521 … 40,869 … 46,578 52,731 59,558 65,721 69,084 External 60,268 58,605 62,974 … 70,638 … 78,318 87,327 96,561 107,246 120,428 Stock of government deposits 2,782 2,696 2,516 … 2,666 … 2,901 3,164 3,457 3,781 4,139 Nominal GDP 106,242 114,939 111,251 111,075 122,280 121,110 133,078 145,145 158,569 173,428 189,846 2018 2020 2019 Sources: Tunisian authorities; and IMF staff estimates.","2,019",tunisia-article-iv-feb-2021.pdf,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Current Account Balance,2021,6.7,%,100,"To address immediate challenges, staff proposed targeting a fiscal deficit of  6.7 percent of GDP in 2021.",6.7 %,tunisia-article-iv-feb-2021.pdf,Alias,Current Account Balance,Trade,Current Account Balance,Current Account Balance,,,
Gross Domestic Product (gdp) At Market Prices,2020,4.8,%,100,"grants) by about  4.8 percent of GDP, thanks in part to non-recurrence of one-off 2020 expenditures of 2.1 percent  of GDP.",4.8 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Inflation,2021,1.0,,70,"As of January 05, 2021 2/ 2018 2019 2020 2021 2022 2023 2024 2025 Nominal gross public debt 50.8 77.5 71.8 87.6 91.2 93.9 96.5 98.5 99.7 Sovereign Spreads Of which: guarantees 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 EMBIG (bp) 3/ 849 Public gross financing needs 8.4 10.7 9.4 17.2 18.3 15.5 15.7 15.9 14.0 5Y CDS (bp) 454 Public debt (in percent of potential GDP) 50.8 79.3 74.2 83.0 89.5 93.3 96.2 98.1 99.1 Real GDP growth (in percent) 2.1 2.7 1.0 -8.2 3.8 2.4 2.0 1.8 1.8 Ratings Foreign Local Inflation (GDP deflator, in percent) 4.2 7.9 7.1 5.4 5.9 6.2 6.9 7.3 7.5 Moody's B2 B2 Nominal GDP growth (in percent) 6.3 10.8 8.2 -3.2 9.9 8.8 9.1 9.2 9.4 S&Ps n.a.",1,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2021,4.0,,70,"To set  expectations for managing the public wage bill, the authorities could pre-announce specific  rules such as: freezing promotions for one year, committing to a replacement ratio of 1:4,  stopping hiring for purely socio-political reasons, staggering the hiring over the fiscal year,  and limiting any potential salary increases to half of inflation, starting in 2021.",4,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Public Administration,2021,0.3,%,100,"The 2021 budget foresees a decline in energy subsidies to 0.3 percent of  GDP, with monthly price changes limited to 2 percent under the automatic fuel price  adjustment mechanism.",0.3 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Administration,Finance,Public Administration,Public Administration,,,
Gross Domestic Product (gdp) At Market Prices,2021,2.0,%,100,"The 2021 budget foresees a decline in energy subsidies to 0.3 percent of  GDP, with monthly price changes limited to 2 percent under the automatic fuel price  adjustment mechanism.",2.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Inflation,2025,14.5,%,100,"The civil service wage bill would grow by less than inflation  annually and fall to about 14.5 percent of GDP by 2025 (i.e., the level of 2018–19).",14.5 %,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2025,19.0,,85,"The civil service wage bill would grow by less than inflation  annually and fall to about 14.5 percent of GDP by 2025 (i.e., the level of 2018–19).",19,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Merchandise Imports (current Usd),2019,2020.0,,85,"Export growth was adversely affected by weak demand  from Europe….     … while imports, already starting to contract in 2019  from the REER depreciation, collapsed in 2020.","2,020",tunisia-article-iv-feb-2021.pdf,Alias,Merchandise Imports (current Usd),Trade,Merchandise Imports (current Usd),Merchandise Imports (current Usd),,,
Inflation,2010,19.0,,85,"Tunisia: Monetary Sector Developments, 2010–20  After a tightening in 2018–19 to contain inflation, key  policy rates were lowered in response to Covid-19.",19,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2010,20.0,,85,"Tunisia: Monetary Sector Developments, 2010–20  After a tightening in 2018–19 to contain inflation, key  policy rates were lowered in response to Covid-19.",20,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2010,2.7,,70,"Real GDP (at 2010 prices) 1.9 2.7 1.0 -8.2 -4.3 3.9 4.1 2.8 2.8 2.9 3.0
GDP deflator 4.8 7.9 7.1 5.4 5.0 5.9 5.6 5.5 5.3 4.6 4.1
CPI inflation (average) 5.3 7.3 6.7 5.7 6.2 5.9 4.9 5.7 5.3 4.6 4.2
CPI inflation (eop) 6.2 7.5 6.1 5.5 6.0 6.0 4.8 5.6 5.2 4.5 4.1
Saving investment balance (Percent of GDP)
Gross national savings 9.1 10.0 8.8 1.0 3.1 4.2 6.6 5.7 7.5 9.6 11.6
of which: central government -0.4 1.0 1.4 -4.1 -1.1 -0.2 2.1 1.8 2.8 3.8 4.8
Gross investment 19.4 21.1 17.2 7.8 10.6 12.6 14.8 13.6 14.7 16.3 17.5
of which: central government 5.6 5.6 5.3 6.1 3.3 5.8 4.6 5.9 6.0 6.1 6.3
Central government operations 1/ (Percent of GDP, unless otherwise indicated)
Total revenue and grants 24.6 26.0 27.7 26.9 26.4 27.2 27.8 27.6 27.8 28.0 28.2
Total expenditure and net lending 30.6 30.5 31.6 37.5 30.7 33.2 30.3 31.6 31.0 30.3 29.7
of which: wage bill 15.0 14.0 14.6 17.6 16.5 16.8 15.4 16.2 15.6 15.0 14.5
of which: energy subsidies 1.6 2.5 2.8 1.3 0.7 0.6 0.5 0.3 0.0 0.0 0.0
of which: transfers (incl.",3,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Inflation,2010,3.8,,70,RFI Production and prices Real GDP (at 2010 prices) 1.9 2.7 1.0 -8.2 -4.3 3.8 4.1 2.4 2.0 1.8 1.8 GDP deflator 4.8 7.9 7.1 5.4 5.0 5.9 5.6 6.2 6.9 7.3 7.5 CPI inflation (average) 5.3 7.3 6.7 5.7 6.2 5.8 4.9 6.3 6.9 7.3 7.5 CPI inflation (eop) 6.2 7.5 6.1 5.5 6.0 6.0 4.8 6.4 6.9 7.4 7.7 Saving investment balance Gross national savings 9.1 10.0 8.8 1.0 3.1 0.9 6.6 1.9 1.9 1.6 1.4 of which:  central government -0.4 1.0 1.4 -4.1 -1.1 -3.5 2.1 -1.4 -1.3 -1.0 -0.8 Gross investment 19.4 21.1 17.2 7.8 10.6 10.5 14.8 11.4 11.2 10.8 10.4 of which:  central government,4,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Public Debt (% Of Gdp),1997,15.0,%,100,"Stock market (TUNINDEX, 12/31/1997=1000) 6,282 7,275 7,870 … … … … … … … … Oil price (Brent, US$ per barrel) 54.4 71.1 64.0 42.3 36.9 53.9 39.5 51.4 50.2 49.6 49.2 3/ In addition to central government debt, SOE debt of and guarantees to the 30 largest SOEs amounts to almost 40 and 15 percent of GDP, respectively.",15.0 %,tunisia-article-iv-feb-2021.pdf,Alias,Public Debt (% Of Gdp),National Accounts,Public Debt (% Of Gdp),Public Debt (% Of Gdp),,,
Inflation,2010,1.0,,70,"Real GDP (at 2010 prices) 1.9 2.7 1.0 -8.2 -4.3 3.9 4.1 2.8 2.8 2.9 3.0
GDP deflator 4.8 7.9 7.1 5.4 5.0 5.9 5.6 5.5 5.3 4.6 4.1
CPI inflation (average) 5.3 7.3 6.7 5.7 6.2 5.9 4.9 5.7 5.3 4.6 4.2
CPI inflation (eop) 6.2 7.5 6.1 5.5 6.0 6.0 4.8 5.6 5.2 4.5 4.1
Saving investment balance (Percent of GDP)
Gross national savings 9.1 10.0 8.8 1.0 3.1 4.2 6.6 5.7 7.5 9.6 11.6
of which: central government -0.4 1.0 1.4 -4.1 -1.1 -0.2 2.1 1.8 2.8 3.8 4.8
Gross investment 19.4 21.1 17.2 7.8 10.6 12.6 14.8 13.6 14.7 16.3 17.5
of which: central government 5.6 5.6 5.3 6.1 3.3 5.8 4.6 5.9 6.0 6.1 6.3
Central government operations 1/ (Percent of GDP, unless otherwise indicated)
Total revenue and grants 24.6 26.0 27.7 26.9 26.4 27.2 27.8 27.6 27.8 28.0 28.2
Total expenditure and net lending 30.6 30.5 31.6 37.5 30.7 33.2 30.3 31.6 31.0 30.3 29.7
of which: wage bill 15.0 14.0 14.6 17.6 16.5 16.8 15.4 16.2 15.6 15.0 14.5
of which: energy subsidies 1.6 2.5 2.8 1.3 0.7 0.6 0.5 0.3 0.0 0.0 0.0
of which: transfers (incl.",1,tunisia-article-iv-feb-2021.pdf,Alias,Inflation,Prices,Inflation,Inflation,,,
Gross Domestic Product (gdp) At Market Prices,2018,2019.0,,85,"Tunisia: Central Government Fiscal Operations, 2018–26  (In percent of GDP)        2018 2019 2022 2023 2024 2025 2026 Proj.","2,019",tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
Gross Domestic Product (gdp) At Market Prices,2020,2021.0,,85,"(in percent of GDP)
115 450 25
110
105 400 20
100
350 15
95
90
300 10
85
80 250 5
75
70 200 0
2020 2021 2022 2023 2024 2025 2020 2021 2022 2023 2024 2025 2020 2021 2022 2023 2024 2025
Additional Stress Tests
Security shock No fiscal reforms
Gross Nominal Public Debt Gross Nominal Public Debt Public Gross Financing Needs
(in percent of GDP) (in percent of Revenue)","2,021",tunisia-article-iv-feb-2021.pdf,Alias,Gross Domestic Product (gdp) At Market Prices,National Accounts,Gross Domestic Product (gdp) At Market Prices,Gross Domestic Product (gdp) At Market Prices,,,
